timestamp,temp,humidity
2024-11-06 19:45:04, ['23.39', '63.00']
2024-11-06 19:46:00, ['23.56', '63.00']
2024-11-06 19:47:00, ['23.41', '63.00']
2024-11-06 19:48:01, ['23.44', '63.00']
2024-11-06 19:49:01, ['23.70', '63.00']
2024-11-06 19:50:01, ['23.41', '63.00']
2024-11-06 19:51:02, ['23.70', '63.00']
2024-11-06 19:52:02, ['23.70', '63.00']
2024-11-06 19:53:02, ['23.70', '63.00']
2024-11-06 19:54:03, ['23.54', '63.00']
2024-11-06 19:55:03, ['23.53', '63.00']
2024-11-06 19:56:03, ['23.54', '63.00']
2024-11-06 19:57:03, ['23.70', '63.00']
2024-11-06 19:58:03, ['23.70', '63.00']
2024-11-06 19:59:04, ['23.70', '64.00']
2024-11-06 20:00:04, ['23.70', '63.00']
2024-11-06 20:01:00, ['23.68', '63.00']
2024-11-06 20:02:00, ['23.70', '63.00']
2024-11-06 20:03:00, ['23.70', '64.00']
2024-11-06 20:04:01, ['23.70', '63.00']
2024-11-06 20:05:01, ['23.70', '63.00']
2024-11-06 20:06:01, ['23.70', '63.00']
2024-11-06 20:07:01, ['23.65', '63.00']
2024-11-06 20:08:02, ['23.62', '63.00']
2024-11-06 20:09:02, ['23.45', '63.00']
2024-11-06 20:10:02, ['23.68', '63.00']
2024-11-06 20:11:02, ['23.70', '63.00']
2024-11-06 20:12:02, ['23.70', '63.00']
2024-11-06 20:13:03, ['23.70', '64.00']
2024-11-06 20:14:03, ['23.68', '63.00']
2024-11-06 20:15:03, ['23.70', '63.00']
2024-11-06 20:16:04, ['23.70', '63.00']
2024-11-06 20:17:04, ['23.70', '62.00']
2024-11-06 20:18:04, ['23.84', '62.00']
2024-11-06 20:19:04, ['24.01', '61.00']
2024-11-06 20:20:04, ['23.73', '60.00']
2024-11-06 20:21:00, ['23.70', '60.00']
2024-11-06 20:22:00, ['23.89', '60.00']
2024-11-06 20:23:00, ['23.70', '59.00']
2024-11-06 20:24:00, ['23.99', '59.00']
2024-11-06 20:25:01, ['23.84', '58.00']
2024-11-06 20:26:01, ['23.90', '58.00']
2024-11-06 20:27:01, ['23.70', '58.00']
2024-11-06 20:28:02, ['23.70', '58.00']
2024-11-06 20:29:02, ['23.90', '57.00']
2024-11-06 20:30:02, ['23.99', '57.00']
2024-11-06 20:31:03, ['24.01', '56.00']
2024-11-06 20:32:03, ['24.45', '57.00']
2024-11-06 20:33:03, ['24.51', '57.00']
2024-11-06 20:34:03, ['23.70', '56.00']
2024-11-06 20:35:03, ['23.70', '57.00']
2024-11-06 20:36:04, ['23.72', '56.00']
2024-11-06 20:37:04, ['23.73', '56.00']
2024-11-06 20:38:04, ['23.70', '56.00']
2024-11-06 20:39:00, ['23.70', '56.00']
2024-11-06 20:40:00, ['23.72', '56.00']
2024-11-06 20:41:00, ['23.70', '55.00']
2024-11-06 20:42:00, ['23.39', '56.00']
2024-11-06 20:43:01, ['23.39', '57.00']
2024-11-06 20:44:01, ['23.39', '58.00']
